798577437726666752,"so ready for thanksgiving \U0001f60a\U0001f60a\U0001f60a"
798577441920978944,"This weather makes me wanna stay in bed and watch Christmas movies all day \U0001f384\u263a\ufe0f\u2744\ufe0f\U0001f385\U0001f3fb"
798577441916809216,"Okay \U0001f634 https://t.co/JPCJl9gRX7"
798577441925169153,"LOOK AT THEM ....... \U0001f440 \n#Bts #Vhope \n \U0001f60d\U0001f60d\U0001f60d\U0001f60d https://t.co/3zbMtJYs2P"
798577446115127296,"@em_pent @briianalamarii @ashlynnxx17 holy throwback! miss and can't wait to see you chicas \U0001f498"
798577446102515712,"@RowdyCowboyDC @wfaachannel8 @WFAAalexa You're the one!  \U0001f61c"
798577450322010112,"@lindsiskray I think it's all of us \U0001f602"
798577450301136896,"New selfies are rare for me \U0001f602 https://t.co/vk93UF4u5P"
798577454516301824,"@nascarcasm no. Just no \U0001f611"
798577458706522112,"I hope so...\u2639 https://t.co/fIQbINcFVt"
798577458685411329,"shall repost hehe , happy 2nd love!\u2764\ufe0f to many more silly moments with you! @harithrafiqi \U0001f64c\U0001f3fc\u2728\u2764\ufe0f https://t.co/LoyPCKfqIU"
798577467070017538,"I feel myself changing. I dont laugh the same anymore, i dont smile the same, or talk the same. Im just so tired of everything,mentally\U0001f494\U0001f494.."
798577483880820737,"If I were a compass' movable rod \nyou'd be my happy fixed pivot\U0001f3e0\naround which I'd move\U0001f501\n@Louis_Tomlinson @Harry_Styles\nfollow me?\U0001f4cc505,209"
798577483842994176,"Broke and sad \U0001f643 https://t.co/vivqvFniQe"
798577488045703168,"Thank you for showing support riding_free_motovlogs  \U0001f496 https://t.co/7C6rK7PSYE"
798577488075091968,"\U0001f4ac #BirchamsBack!\n\nmarcbircham has expressed his joy at returning to #QPR as First Team Coach:\u2026 https://t.co/4afdzykux8"
798577488058142720,"Sitting here &amp; I hear myla say "I'm so bored, I wanna go bye bye" \U0001f644\U0001f644"
798577488058286080,"Stay telling me I have a fucking attitude when I don't \U0001f644 https://t.co/jq2nc8LFNp"
798577492231536640,"Come join me, or you'll be left behind #BIGOLIVE &gt; 1 crown 1 panda lagi please\U0001f607. https://t.co/xrvi8NimJL https://t.co/tBbZoOioYU"
798577492239888385,"@iJesseWilliams is nominated for Favorite Dramatic TV Actor at the People's Choice Awards 2017. Vote here \u27a1\u2026 https://t.co/ZARSdB4yV3"
798577496434192384,"Hey, it ended well. \U0001f60f"
798577517401509888,"In honor of the New @ArrivalMovie, here is 'Visitor' from my new album \U0001f4ab https://t.co/BocsrnUjjk  #arrivalmovie #visitor #dalea"
798577517418389504,"Stiles \U0001f602\U0001f602 https://t.co/O34KtfbaQI"
798577525823864832,"@stanaj and @OfficialSoMo here I come! \U0001f60d\U0001f44f\U0001f3fc\U0001f60e https://t.co/02oMFaUegw"
798577530005585920,"@WaringMcKenna @sam_clemmett @JHowardActor @HPPlayLDN @standardnews I'm so freaking proud! \u263a"
798577534183100416,"All Hot Shit\U0001f525\U0001f4a9\U0001f4af\n https://t.co/8A39Tu0eEU"
798577538385739776,"Hey guys! Polish Mendes Army need your help\U0001f495Tweet by #cometopolandshawn \U0001f496\nVote @ShawnMendes New Artist Of The Year unleashed by @TMobile"
798577538385620993,"@Myaapyaa Hey beautiful \U0001f495! we r having a #BLACKFRIDAY \U0001f449\U0001f3fcALL WEEK HAIR SALE\U0001f640\U0001f495we bring you THE BEST HAIR FOR LESS!!\u2026 https://t.co/LblKtYK9xe"
798577546770006016,"man, stop playing with me before your daddy becomes my sugar daddy \U0001f602"
798577555167055872,"MY BABY WROTE A NOVEL AND ITS GONNA BE AMAZING\n\u26a1\ufe0f \u201cFormer teen heartthrob Chad Michael Murray writes romance novel\u201d\n\nhttps://t.co/qZVlOplszQ"
798577559361290241,"Goodmornight \U0001f607\u263a"
798577559365521408,"both of yall can wait \U0001f62d\U0001f62d\U0001f62d nic is enough as a person by his self \U0001f62d\U0001f602 https://t.co/f8X1eaSysx"
798577559352975361,"\U0001f60dBest sex chat!\U0001f60d\n\U0001f51eJust sign up for free!\U0001f51e\nhttps://t.co/moqgeoKp4n\n\U0001f51eFollow me!\U0001f51e\n@SiliconEros\n@cumcumlover\u2026 https://t.co/sjA9EmMsA6"
798577571940077568,"I feel like \U0001f4a9"
798577576117760004,"Who you tellin \U0001f629 https://t.co/nQChO1wfWl"
798577584518807552,"@RatchetDevv I just don't know how to roll woods and that's all the GOT and switchers by my house and I be dam \U0001f602\U0001f602\U0001f602"
798577584544088064,"What have I found here? \U0001f602 @Jack_Septic_Eye https://t.co/JHFlKLAAyI"
798577584523120640,"good afternoon \U0001f339\U0001f5e1 https://t.co/ictJvZE5kY"
798577592924139520,"@Outlander_STARZ @SamHeughan @caitrionambalfe @peopleschoice \nI'll bet you're more proud now \U0001f603\n#Outlander \U0001f3c6\U0001f3c6\U0001f3c6\U0001f3c6"
798577592915857408,"What you WON'T get is praise for what you're supposed to be doing!! \u261d\U0001f3fe"
798577601296105472,"8 days until our fab \U0001f31ffundraising\U0001f31f  Comedy Night.  Don't miss out! Enjoy some autumnal cheer &amp; support our #charity\u2026 https://t.co/dVxytKQsLC"
798577609684594688,"Got to sleep in this morning \U0001f60c"
798577609684774912,"@gayzirry thank you sarah ily\U0001f497\U0001f497"
798577613904056321,"Let Me Get Dressed Before They Start Calling My Phone \U0001f602"
798577618094276612,"@EmilyRamos_  HAPPY BIRTHDAY BEAUTIFUL\u2728\U0001f389\u2764\ufe0f"
798577630668726272,"@RaeleennnMieraa I stay struggling \U0001f62d\U0001f62b"
798577639057260544,"@grovesameen That's my feeling.We love her so much\U0001f62d https://t.co/EXEexBHaUW"
798577643264376833,"I hate old ass men , they ain't shit but perverts \U0001f624"
798577651640373248,"Jissy tohfay dena pasand tha \U0001f602 #\u0627\u06cc\u06a9_\u062a\u06be\u0627_\u0639\u0631\u0628\u06cc"
798577651623432197,"@pchesdeleon thank you chai love youuuu \U0001f618\U0001f618\U0001f618"
798577651619348481,"@ImGameplaYz Happy B-Day man!\U0001f389"
798577651627724800,"why would you put all over facebook that your boyfriend battered you then get back with him \U0001f633"
798577660016398336,"\U0001f374    \U0001f4aa      \U0001f4b8      \u2764\ufe0f      \U0001f504\nEat. Train. Work. Love. Repeat."
798577664214892544,"@lay_buckels happy birthday!!!!!! Love you! I hope you have a fab day!!!! \U0001f389\U0001f495\U0001f382\U0001f388\U0001f618\U0001f481\U0001f3fc"
798577672599244802,"If I wasn't such a sensitive person, I would be okay. Instead I'm trying not to cry in the shower. \U0001f614"
798577672603496448,"Love you more \U0001f493 https://t.co/CMcdiSXZ4x"
798577672620154880,"@JamJamPics  #IWANTBTSHDPICS I WANT \U0001f642"
798577672616034304,"Need to get my name out there more\U0001f44a\U0001f3fb\U0001f44a\U0001f3fb"
